id_odsp,id_event,sort_order,time,text,event_type,event_type2,side,event_team,opponent,player,player2,player_in,player_out,shot_place,shot_outcome,is_goal,location,bodypart,assist_method,situation,fast_break
GUOdmtII/,GUOdmtII39,39,40,"Attempt missed. Pierre-Alain Frau (Caen) right footed shot from outside the box is close, but misses to the left. Assisted by Romain Hamouma.",1,12.0,1,Caen,Valenciennes,pierrealain frau,romain hamouma,,,8.0,2.0,0,15.0,1.0,1,1.0,0
GUOdmtII/,GUOdmtII40,40,41,Pierre-Alain Frau (Caen) wins a free kick in the defensive half.,8,,1,Caen,Valenciennes,pierrealain frau,,,,,,0,2.0,,0,,0
GUOdmtII/,GUOdmtII41,41,41,Foul by Isimat Mirin (Valenciennes).,3,,2,Valenciennes,Caen,isimat mirin,,,,,,0,,,0,,0
GUOdmtII/,GUOdmtII42,42,42,Alexandre Raineau (Caen) wins a free kick on the left wing.,8,,1,Caen,Valenciennes,alexandre raineau,,,,,,0,4.0,,0,,0
GUOdmtII/,GUOdmtII43,43,42,Foul by RA©mi Gomis (Valenciennes).,3,,2,Valenciennes,Caen,remi gomis,,,,,,0,,,0,,0
GUOdmtII/,GUOdmtII44,44,42,Hand ball by FrA©dA©ric Bulot (Caen).,10,,1,Caen,Valenciennes,frederic bulot,,,,,,0,,,0,,0
GUOdmtII/,GUOdmtII45,45,43,Attempt saved. GaA«tan Bong (Valenciennes) left footed shot from outside the box is saved in the centre of the goal.,1,,2,Valenciennes,Caen,gaetan bong,,,,5.0,1.0,0,15.0,2.0,0,1.0,0
GUOdmtII/,GUOdmtII46,46,43,Attempt saved. GrA©gory Pujol (Valenciennes) right footed shot from the right side of the six yard box is saved in the bottom right corner.,1,,2,Valenciennes,Caen,gregory pujol,,,,4.0,1.0,0,12.0,1.0,0,1.0,0
GUOdmtII/,GUOdmtII47,47,45,Foul by Thomas Heurtaux (Caen).,3,,1,Caen,Valenciennes,thomas heurtaux,,,,,,0,,,0,,0
GUOdmtII/,GUOdmtII48,48,45,Mathieu Dossevi (Valenciennes) wins a free kick in the attacking half.,8,,2,Valenciennes,Caen,mathieu dossevi,,,,,,0,1.0,,0,,0
GUOdmtII/,GUOdmtII49,49,45,Attempt missed. Mathieu Dossevi (Valenciennes) right footed shot from the centre of the box is too high following a set piece situation.,1,,2,Valenciennes,Caen,mathieu dossevi,,,,10.0,2.0,0,3.0,1.0,0,2.0,0
GUOdmtII/,GUOdmtII50,50,48,Attempt blocked. GrA©gory Pujol (Valenciennes) right footed shot from outside the box is blocked. Assisted by RA©mi Gomis.,1,12.0,2,Valenciennes,Caen,gregory pujol,remi gomis,,,2.0,3.0,0,15.0,1.0,1,1.0,0
GUOdmtII/,GUOdmtII51,51,49,"Offside, Caen. Alexis ThA©baux tries a through ball, but Pierre-Alain Frau is caught offside.",9,13.0,1,Caen,Valenciennes,pierrealain frau,alexis thebaux,,,,,0,,,0,,0
GUOdmtII/,GUOdmtII52,52,52,Attempt saved. Romain Hamouma (Caen) left footed shot from outside the box is saved in the top centre of the goal.,1,,1,Caen,Valenciennes,romain hamouma,,,,11.0,1.0,0,15.0,2.0,0,1.0,0
GUOdmtII/,GUOdmtII53,53,54,Attempt saved. FrA©dA©ric Bulot (Caen) header from the centre of the box is saved in the centre of the goal. Assisted by Pierre-Alain Frau with a cross.,1,12.0,1,Caen,Valenciennes,frederic bulot,pierrealain frau,,,5.0,1.0,0,3.0,3.0,2,1.0,0
GUOdmtII/,GUOdmtII54,54,60,"Corner,  Valenciennes. Conceded by Jerry Van Dam.",2,,2,Valenciennes,Caen,jerry van dam,jerry van dam,,,,,0,,,0,,0
GUOdmtII/,GUOdmtII55,55,62,"Corner,  Valenciennes. Conceded by Gregory Leca.",2,,2,Valenciennes,Caen,gregory leca,gregory leca,,,,,0,,,0,,0
GUOdmtII/,GUOdmtII56,56,64,"Corner,  Caen. Conceded by Isimat Mirin.",2,,1,Caen,Valenciennes,isimat mirin,isimat mirin,,,,,0,,,0,,0
GUOdmtII/,GUOdmtII57,57,66,"Corner,  Valenciennes. Conceded by Gregory Proment.",2,,2,Valenciennes,Caen,gregory proment,gregory proment,,,,,0,,,0,,0
GUOdmtII/,GUOdmtII58,58,66,Jerry Van Dam (Caen) wins a free kick in the defensive half.,8,,1,Caen,Valenciennes,jerry van dam,,,,,,0,2.0,,0,,0
GUOdmtII/,GUOdmtII59,59,66,Foul by Benjamin Angoua (Valenciennes).,3,,2,Valenciennes,Caen,benjamin angoua,,,,,,0,,,0,,0
GUOdmtII/,GUOdmtII60,60,67,Attempt saved. GaA«l Danic (Valenciennes) left footed shot from the left side of the box is saved in the bottom right corner. Assisted by Mathieu Dossevi.,1,12.0,2,Valenciennes,Caen,gael danic,mathieu dossevi,,,4.0,1.0,0,9.0,2.0,1,1.0,0
GUOdmtII/,GUOdmtII61,61,69,"Substitution, Valenciennes. Foued Kadir replaces Mathieu Dossevi.",7,,2,Valenciennes,Caen,,,foued kadir,mathieu dossevi,,,0,,,0,,0
GUOdmtII/,GUOdmtII62,62,70,Hand ball by Nicolas Seube (Caen).,10,,1,Caen,Valenciennes,nicolas seube,,,,,,0,,,0,,0
GUOdmtII/,GUOdmtII63,63,70,"Substitution, Caen. Damien Marcq replaces Gregory Proment.",7,,1,Caen,Valenciennes,,,damien marcq,gregory proment,,,0,,,0,,0
GUOdmtII/,GUOdmtII64,64,71,Foul by FrA©dA©ric Bulot (Caen).,3,,1,Caen,Valenciennes,frederic bulot,,,,,,0,,,0,,0
GUOdmtII/,GUOdmtII65,65,71,Carlos SA¡nchez (Valenciennes) wins a free kick in the defensive half.,8,,2,Valenciennes,Caen,carlos sanchez,,,,,,0,2.0,,0,,0
GUOdmtII/,GUOdmtII66,66,72,Pierre-Alain Frau (Caen) wins a free kick in the defensive half.,8,,1,Caen,Valenciennes,pierrealain frau,,,,,,0,2.0,,0,,0
